problem_id,game,target,studyType
1.0,PLAYGROUND,아기,0
2.0,PLAYGROUND,네모,0
3.0,PLAYGROUND,카드,0
4.0,PLAYGROUND,주스,0
5.0,PLAYGROUND,부채,0
6.0,SNACKGAME,내려,0
7.0,SNACKGAME,켜요,0
8.0,SNACKGAME,아야,0
9.0,SNACKGAME,휴지,0
10.0,SNACKGAME,요리,0
11.0,PLAYGROUND,오리,0
12.0,PLAYGROUND,바지,0
13.0,PLAYGROUND,세수,0
14.0,PLAYGROUND,나무,0
15.0,PLAYGROUND,머리,0
16.0,SNACKGAME,호박,0
17.0,SNACKGAME,김밥,0
18.0,SNACKGAME,공주,0
19.0,SNACKGAME,선물,0
20.0,SNACKGAME,닫다,0
21.0,BOATGAME,포크,0
22.0,BOATGAME,새우,0
23.0,BOATGAME,거미,0
24.0,BOATGAME,카레,0
25.0,BOATGAME,기차,0
26.0,SNACKGAME,짜요,0
27.0,SNACKGAME,쓰다,0
28.0,SNACKGAME,꼬마,0
29.0,SNACKGAME,떼다,0
30.0,SNACKGAME,빼다,0
31.0,SNACKGAME,비누,0
32.0,SNACKGAME,다리,0
33.0,SNACKGAME,노래,0
34.0,SNACKGAME,버스,0
35.0,SNACKGAME,세모,0
36.0,MANDUGAME,오리,0
37.0,MANDUGAME,바지,0
38.0,MANDUGAME,세수,0
39.0,MANDUGAME,나무,0
40.0,MANDUGAME,머리,0
41.0,PLAYGROUND,튜브,0
42.0,PLAYGROUND,하러,0
43.0,PLAYGROUND,우리,0
44.0,PLAYGROUND,고쳐,0
45.0,PLAYGROUND,여유,0
46.0,SNACKGAME,어디서,0
47.0,SNACKGAME,누구냐,0
48.0,SNACKGAME,가라고,0
49.0,SNACKGAME,이야기,0
50.0,SNACKGAME,비켜요,0
51.0,PLAYGROUND,가져,0
52.0,PLAYGROUND,피다,0
53.0,PLAYGROUND,쪼아,0
54.0,PLAYGROUND,떼서,0
55.0,PLAYGROUND,아파,0
56.0,SNACKGAME,다르지,0
57.0,SNACKGAME,코끼리,0
58.0,SNACKGAME,자네요,0
59.0,SNACKGAME,아저씨,0
60.0,SNACKGAME,뿌려요,0
61.0,FRUITPUZZLEGAME,입다,0
62.0,FRUITPUZZLEGAME,인사,0
63.0,FRUITPUZZLEGAME,언제,0
64.0,FRUITPUZZLEGAME,줍다,0
65.0,FRUITPUZZLEGAME,언니,0
66.0,PLAYGROUND,신나,0
67.0,PLAYGROUND,접다,0
68.0,PLAYGROUND,문어,0
69.0,PLAYGROUND,굽다,0
70.0,PLAYGROUND,한개,0
71.0,BOATGAME,언제,0
72.0,BOATGAME,입다,0
73.0,BOATGAME,한개,0
74.0,BOATGAME,인사,0
75.0,BOATGAME,신나,0
76.0,HITHITGAME,덥다,0
77.0,HITHITGAME,신어,0
78.0,HITHITGAME,만두,0
79.0,HITHITGAME,춥다,0
80.0,HITHITGAME,만져,0
81.0,FRUITPUZZLEGAME,잡다,0
82.0,FRUITPUZZLEGAME,뽑아,0
83.0,FRUITPUZZLEGAME,단추,0
84.0,FRUITPUZZLEGAME,친구,0
85.0,FRUITPUZZLEGAME,혼자,0
86.0,PLAYGROUND,수건,0
87.0,PLAYGROUND,나는,0
88.0,PLAYGROUND,맵다,0
